category,search_string,search_ranking,text
misc,at GOODWILL DEARBORN        DEARBORN     MI,0,"Goodwill Store, 22451 Michigan Ave, Dearborn, MI - Google Maps Goodwill Store, 22451 Michigan Ave, Dearborn, MI. Connect to internet to see 
place info. Directions. Show map. Directions. Google Maps. Traffic Transit"
misc,at GOODWILL DEARBORN        DEARBORN     MI,1,"Jerusalem - Israel's Ramadan Goodwill Comes Amid Tension Over ... May 26, 2017 ... Jerusalem - Israel has announced a series of goodwill gestures for ... Dearborn, 
MI - Muslim Man Sues Little Caesars For $100M Over Pizza ..."
misc,at GOODWILL DEARBORN        DEARBORN     MI,2,"NPO's in Dbn - Fordson Band Allie and Wanda Fayz Family Foundation, Dearborn, MI, USA, 4. Allie and Wanda 
... Goodwill Charitable Organization Inc. Dearborn, MI, USA, --. Great Lakes ..."
misc,at GOODWILL DEARBORN        DEARBORN     MI,3,"The National Archives got Ford to sponsor an Auschwitz exhibit ... Feb 7, 2020 ... A 1943 U.S. Treasury Department investigation into the ties between Ford in 
Dearborn, Michigan, and its subsidiaries in Nazi-occupied Europe ..."
misc,at GOODWILL DEARBORN        DEARBORN     MI,4,"University of Michigan Trademarks and Licensing Program ... Jun 16, 2017 ... A trademark is any name, word, symbol or device used to identify the goodwill 
and/or services of the University of Michigan. They include, but ..."
prof dev,at SQ *COMMON GRACE CO      DEARBORN     MI,0,"Garmin - Google My Maps Margarita & N. General Kearny, Teme. Clay & Limonite, Riverside. Los Alamos & 
Hancock, Murrieta. Safeway-McMinnville #1601. Winchester Marketplace."
prof dev,at SQ *COMMON GRACE CO      DEARBORN     MI,1,"CMS releases first star ratings for home health, few earn 1 star; See ... Jan 28, 2016 ... Clay County Hospital Home Care, Llc, 83825 Highway 9, Ashland, Alabama, 5 ... 
Preferred Home Care Services, 2802 Madison Square Drive Ste 100, Loveland ... 
Dearborn County Hospital Home Health & Hospice, 370 Bielby Rd ... Grace 
Home Health Care, 1993 Whittaker Road, Ypsilanti, Michigan, 5."
prof dev,at SQ *COMMON GRACE CO      DEARBORN     MI,2,"Google Maps Find local businesses, view maps and get driving directions in Google Maps."
prof dev,at SQ *COMMON GRACE CO      DEARBORN     MI,3,"Controversial Group Removes Board Names From Website Amid ... Apr 7, 2017 ... Portia, Bright, NC General Assembly ... Ann, Fillmore, United Way of Midland 
County. Hudson, Garrett ... Martin, Tooley, Amazing Grace International Ministries 
... Ana, Duque, American Friends of un TECHO para mi pais ... Tanya, Ward, 
Congo Square Theatre Company ... Kattye, Moore, Dearborn YMCA."
prof dev,at SQ *COMMON GRACE CO      DEARBORN     MI,4,"Google Maps Dedicated lanes. Bicycle-friendly roads. Dirt/unpaved trails. Live traffic. Fast. Slow
. 2 m. Set depart & arrive time. Route options. All traffic. Satellite. Terrain."
groceries,at KROGER #443              DEARBORN     MI,0,"Police: Fight between 2 women at Kroger leads to shooting Apr 18, 2019 ... The Atlanta Police Department told Channel 2 Action News they were called to 
the Kroger on Cascade Avenue SW just before 1 p.m. When ..."
groceries,at KROGER #443              DEARBORN     MI,1,"6 groceries you should always buy at Kroger Jun 16, 2019 ... Kroger is one of the largest grocery store operators in the country, offering tons of 
sales and promotions on everyday products. Here are a ..."
groceries,at KROGER #443              DEARBORN     MI,2,"Man shot and killed by LMPD officers outside Kroger in west Louisville Nov 8, 2019 ... Police responded to the Kroger at 512 N 35th St. around 6 p.m. Thursday on the 
report of a shooting."
groceries,at KROGER #443              DEARBORN     MI,3,"Business owner promotes Kentucky Proud products at Kroger Jan 18, 2020 ... You can find the Kentucky Proud section in almost every Kroger in the state."
groceries,at KROGER #443              DEARBORN     MI,4,"Chris Stapleton, Willie Nelson, Sheryl Crow to perform at Kroger Field Oct 2, 2019 ... Country music superstar and Kentucky native Chris Stapleton will headline the 
first-ever concert at Kroger Field in Lexington."
groceries,at WESTBORN FRUIT MARKET    DEARBORN     MI,0,"4 additional cases of measles confirmed in Oakland County Mar 21, 2019 ... This news comes more than a week after the Michigan Department of ... 
Westborn Market: 27659 Woodward Ave., Berkley, 12:30 – 3:30 p.m."
groceries,at WESTBORN FRUIT MARKET    DEARBORN     MI,1,The Grainery -- Fresh Milled Oats - Google My Maps Retail Mill Locations.
groceries,at WESTBORN FRUIT MARKET    DEARBORN     MI,2,Good Stuff Cacao - Google My Maps A map of locations carrying Good Stuff Cacao products.
groceries,at WESTBORN FRUIT MARKET    DEARBORN     MI,3,"Experts say confirmed cases of measles in Oakland County may just ... Mar 26, 2019 ... The news comes a week after the Michigan Department of Health and ... 
Westborn Market: 27659 Woodward Ave., Berkley, 12:30 – 3:30 p.m."
groceries,at WESTBORN FRUIT MARKET    DEARBORN     MI,4,"Public Mailing List for Platinum Pages New Market Discount Drugs, New Market, AL. 426. The Pharmacy at ... Market 
Street Pharmacy, Horseshoe Bend, AR. 1204. Horseshoe ... Farmers Drug, 
Youngsville, LA. 12766. LSU Medical Ctr ... Westborn Pharmacy, Dearborn, MI. 
14545."
dining,at O`SUSHI II               DEARBORN     MI,0,"Find San Antonio's Veteran-Led Bars and Restaurants with Google's ... Nov 10, 2018 ... Open a custom Google map of all the veteran-led businesses in the United States
, zoom in on San Antonio, and you'll find more than 100 small ..."
dining,at O`SUSHI II               DEARBORN     MI,1,"Google Maps Find local businesses, view maps and get driving directions in Google Maps."
dining,at O`SUSHI II               DEARBORN     MI,2,"M&A soared in 2018; Autodesk, Hershey, Stryker closed notable deals Jan 30, 2019 ... Autodesk's purchase of PlanGrid, Hershey's acquisition of Amplify, and ... 
Federated Hldg Uk Ii Ltd, Hermes Fund Managers Ltd, Investment ... Starwood 
Global Opportunity, One South Dearborn LLC, Real Estate; ... AmRest Holdings 
SE, Sushi Shop Group, Retail Trade-Eating and Drinking Places, 292.1."
dining,at O`SUSHI II               DEARBORN     MI,3,"Sole Survivor: Royal Oak Has Last Sign of the ... - Deadline Detroit Jun 21, 2018 ... The Sign of the Beefcarver was once a popular chain of ... This week, the one on 
Michigan Avenue in Dearborn shut after 51 years. Now the ..."
dining,at O`SUSHI II               DEARBORN     MI,4,"AI Client References for the Business Owner » Adjusters International Here is a partial listing of the thousands of satisfied clients we have helped. ... 
Alvarado Apartments - Albuquerque, NM; AM Property Holding II Corporation; 
Ambassador ... Days Inn Motel Place - South Bend, IN; Days Inn of Dearborn - 
Dearborn, MI ... MI; Surfside Mansions Condominium - Carolina, Puerto Rico; 
Sushi Redi ..."
groceries,at MEIJER # 233             ALLEN PARK   MI,0,"You can now renew your Michigan plates at select Meijer stores 3 days ago ... If you need to renew your Michigan vehicle plates, you can now do it at Meijer."
groceries,at MEIJER # 233             ALLEN PARK   MI,1,"You can now renew plates & registrations at 28 Meijer stores in ... 4 days ago ... LANSING, Mich. (WXYZ) — You can now renew your vehicle registration and 
plate in just minutes at Meijer stores, the Michigan Secretary of ..."
groceries,at MEIJER # 233             ALLEN PARK   MI,2,"Michigan drivers can now renew vehicle plates at 28 Meijer stores ... 4 days ago ... Michigan drivers can now renew their vehicle registration while picking up 
groceries at 28 Meijer locations."
groceries,at MEIJER # 233             ALLEN PARK   MI,3,"2019 Featured Groups at Meijer LPGA Classic | LPGA | Ladies ... Jun 12, 2019 ... Lydia Ko enters the Meijer LPGA Classic off a T39 effort at the U.S. Women's 
Open. Ko was showcasing her game in the month of March, with ..."
groceries,at MEIJER # 233             ALLEN PARK   MI,4,"RECALL: Ground beef sold at Meijer recalled | News | wnem.com Apr 9, 2019 ... Ground beef sold at Meijer is being recalled because it may have pieces of hard 
plastic in it."
prof dev,STARBUCKS STORE 09435,0,"Starbucks, home of the $4 latte, is moving into poor areas Jan 16, 2020 ... The Seattle-based coffee giant that has cultivated a reputation for being socially 
responsible said Thursday it is expanding its effort to put more ..."
prof dev,STARBUCKS STORE 09435,1,"The 50 Most Beautiful Starbucks Around the World Jul 17, 2017 ... There are a lot of insane and gorgeous Starbucks stores around the world. Some 
are even right here in the United States. Consider this your ..."
dining,at BLAZE PIZZA #1130        ALLEN PARK   MI,0,"Get a free personal pie at Blaze Pizza when the chain celebrates its ... Jul 29, 2019 ... In celebration of its grand opening, Blaze Fast Fire'd Pizza, the recognized world 
leader in fast artisanal pizza, is offering the Fresh Meadows ..."
dining,at BLAZE PIZZA #1130        ALLEN PARK   MI,1,"Build-Your-Own Pizza at Blaze Pizza - Google Maps Build-Your-Own Pizza at Blaze Pizza. Connect to internet to see place info. 
Directions. Show map. Directions. Google Maps. Traffic Transit Bicycling Satellite"
dining,at BLAZE PIZZA #1130        ALLEN PARK   MI,2,"Blaze adds large pizzas, launches ad campaign in delivery push Sep 9, 2019 ... Blaze Pizza began its push for a larger share of the pizza delivery market with the 
official introduction this morning of large pizzas, the brand's ..."
dining,at BLAZE PIZZA #1130        ALLEN PARK   MI,3,"Blaze Pizza Promo Codes, 50 Coupons 2020 Discounts average $9 off with a Blaze Pizza promo code or coupon. 50 Blaze 
Pizza coupons now on RetailMeNot."
dining,at BLAZE PIZZA #1130        ALLEN PARK   MI,4,"LeBron Doesn't Show at Culver City Blaze Pizza, Disappointing ... Jul 10, 2018 ... Hundreds of fans hoping to see new Los Angeles Laker LeBron James on 
Tuesday had to make do with free pizza instead."
dining,at BURGER KING #3996  Q07   MELVINDALE   MI,0,"Burger King thinks moldy Whoppers will get you to buy more burgers ... Feb 19, 2020 ... New York (CNN Business) Burger King is re-""molding"" the image of its signature 
Whopper in a nauseating new ad campaign that promotes ..."
dining,at BURGER KING #3996  Q07   MELVINDALE   MI,1,"One Million Moms blasts Burger King for using 'd-word' in Impossible ... Jan 13, 2020 ... A conservative moms group has a beef with Burger King — and the 'd-word' ... 
Impossible Whopper is seen outside a Burger King in New York."
dining,at BURGER KING #3996  Q07   MELVINDALE   MI,2,"Impossible Whoppers are a huge hit at Burger King, fueling its best ... Oct 28, 2019 ... Popeyes' spicy chicken sandwich is the only thing in the fast food business that's 
hotter than Burger King's Impossible Whopper. And that's ..."
dining,at BURGER KING #3996  Q07   MELVINDALE   MI,3,"Conservative Mom Group Is Real Mad at Burger King for Bad Word ... Jan 13, 2020 ... The somehow-controversial ad, which debuted more than four months ago, 
depicts a totally normal reaction to eating a good burger."
dining,at BURGER KING #3996  Q07   MELVINDALE   MI,4,"BURGER KING® App - Apps on Google Play Get secret deals and exclusive mobile coupons with the official BURGER KING® 
app and save like a king! Explore our menu and find your nearest BK® ..."
dining,at TACO BELL 002400244343   ALLEN PARK   MI,0,"Video: Dearborn Restaurant Goes Over the Top with $60 Taco Jan 11, 2018 ... Just for perspective: A crunchy taco at Taco Bell costs $1.19. A Doritos Locos 
Taco is $1.89. Now M Cantina restaurant at 13214 Michigan Ave."
dining,at TACO BELL 002400244343   ALLEN PARK   MI,1,"Bishop Charles Ellis III: 5 Fast Facts You Need to Know | Heavy.com Sep 1, 2018 ... Ellis' Taco Bell Joke About Ariana Grande Was Seen as Inappropriate ... icon 
Aretha Franklin's funeral on August 31, 2018 in Detroit, Michigan."
dining,at TACO BELL 002400244343   ALLEN PARK   MI,2,"Breakfast at Cafe Muse Royal Oak, Michigan - East Meets West Veg Sep 30, 2014 ... I don't remember the name of it, but it had tri-color bell peppers, jalapenos, and 
salsa. The tofu did not appear to be marinated and I thought that ..."
transportation,at UBER TECHNOLOGIES INC    8005928996   CA,0,"Uber Eats: Order Food Delivery - Apps on Google Play Find Food Options For Your Budget. Order food using the Uber Eats app now. 
Hungry? Order restaurant food easily with the Uber Eats app. Track your food ..."
transportation,at UBER TECHNOLOGIES INC    8005928996   CA,1,"Fraude et vol carte bancaire UBER Uber est le moyen qui semble le plus utilisé en ce moment pour les arnaques à ... 
parisienne et quelques grandes villes (car ça ne nourrit pas normalement un ..."
house,at LOWES #01859*            ALLEN PARK   MI,0,"SurfaceMaxx Pro Pro PW Surface Cleaner 4500-PSI at Lowes.com Shop surfacemaxx pro pro pw surface cleaner 4500-psi in the pressure washer 
surface cleaners section of Lowes.com."
house,at LOWES #01859*            ALLEN PARK   MI,1,"HOW TO GET YOUR HOT DOG CART AT LOWES AND HOME DEPOT Oct 30, 2018 ... I'm going to show you how to get a hot dog cart at Lowes and Home Depot. 
Before you rush off all willy-nilly - be sure to understand the pros ..."
house,at LOWES #01859*            ALLEN PARK   MI,2,"Lowe's Black Friday ad: Christmas trees, appliances, tools, toy deals Nov 14, 2019 ... Lowe's kicked off many of its Black Friday deals earlier this month but is adding 
new doorbusters in-store and online at Lowes.com. Stores are ..."
house,at LOWES #01859*            ALLEN PARK   MI,3,"Troy-Bilt TB30R 10.5-HP Manual/Gear 30-in Riding Lawn Mower ... Shop troy-bilt tb30r 10.5-hp manual/gear 30-in riding lawn mower with mulching 
capability (included) at Lowes.com."
house,at LOWES #01859*            ALLEN PARK   MI,4,"Craftsman at Lowes : Tools r/Tools: We all use them. Every single day. Show us what you got. This sub is for 
tool enthusiasts worldwide to talk about tools, professionals and …"
dining,OAKWOOD GRILL   MUSIC LOU,0,"Treasury department releases 2019 unclaimed property list; state ... Oct 27, 2019 ... Editorials & Opinions · Call & Comment · Arts · Community Calendar · Living · 
Announcements · Obituaries · Around ... Alexander Louis 36216 Lynchburg Dr 
Denham Springs LA ... Bonton Bbq Llc 23610 La Highway 16 Ste D Denham 
Springs LA ... Collins Tracy 14130 Oakwood Lane Denham Springs LA."
dining,OAKWOOD GRILL   MUSIC LOU,1,"In remembrance: Locals who passed on in August | Lifestyles ... He was an Illini basketball and St. Louis Cardinals fan. His funeral will be at 10 
a.m. Saturday at Delavan United Methodist Church. Pastor Gene Ramsey will ..."
dining,OAKWOOD GRILL   MUSIC LOU,2,"Happenings Pickup Locations - Google My Maps Where to find Happenings Magazine within Kenosha, Racine and Lake County."
dining,OAKWOOD GRILL   MUSIC LOU,3,"VIDEO: Chef's expands with new location, Chef's “On The Go ... Oct 22, 2019 ... Said owner, Lou Billittier. There are plans now to franchise Chef's across the U.S. 
This location will serve as the flag ship for that initiative."
dining,OAKWOOD GRILL   MUSIC LOU,4,"In remembrance: Locals who passed on in January | Lifestyles ... Feb 3, 2017 ... January 2017 obituaries and announcements in the Bloomington–Normal area. 
View obituaries any time at Pantagraph.com/Obituaries."
groceries,at COSTCO WHSE #0390        LIVONIA      MI,0,"What Costco looked like when it first opened in 1983: photos ... 6 days ago ... Costco's been around in some form since Price Club opened its doors in 1976. 
Check out these photos from the first Costco warehouse."
groceries,at COSTCO WHSE #0390        LIVONIA      MI,1,"Febreze Car Vent Clips 5-Pack at Costco Warehouse Only $6.99 Jun 5, 2019 ... Don't stink & drive! Keep your car smelling fresh all summer long thanks to this 
Costco deal on Febreze Air Freshener Car Vent Clips!"
groceries,at COSTCO WHSE #0390        LIVONIA      MI,2,"Costco Members: Costco Warehouse Savings Coupon Book July 2018 Jun 21, 2018 ... New savings coupon book, now available. https://www.costco.com/warehouse-
savings.html ..."
groceries,at COSTCO WHSE #0390        LIVONIA      MI,3,"Report: Costco Stores Reject Gun Store's Donation to Children's ... May 15, 2018 ... (Enclosed) please find your company check for $500.00 made out to COSTCO 
WHSE 00 representing a refund of your CMN banner donation ..."
groceries,at COSTCO WHSE #0390        LIVONIA      MI,4,"Account Alert: Debit/ATM Card Transaction Over Your Chosen Alert ... Jul 7, 2016 ... Debit/ATM card: ending in - 0475. Where: at COSTCO WHSE #0454 -IRVINE ,CA
. Transaction type: PURCH WITH PIN. When: on July 07, 2016 ..."
prof dev,at SOCRATEA LLC             DETROIT      MI,0,"Find a Job - Google Careers Search, find and apply to job opportunities at Google. Bring your insight, 
imagination and healthy disregard for the impossible. Together, we can build for 
e..."
prof dev,at SOCRATEA LLC             DETROIT      MI,1,"Nicholas Castellanos gets emotional talking about new beginning ... Aug 21, 2019 ... Former Detroit Tiger Nicholas Castellanos is delighting reporters in ... Later, 
Castellanos put on his philosophical hat and mixed Socrates with ..."
prof dev,at SOCRATEA LLC             DETROIT      MI,2,"TNH's 50 Wealthiest Greeks in America 2019 List - The National ... Sep 5, 2019 ... When he was only four, the family moved to Genessee, MI. ... A second-
generation American of Greek descent, he was born in Detroit, MI and raised in 
Pasadena, ... In 2016, Metropoulos sold his equity stake in Utz Quality Foods LLC 
... Reading many philosophers from Plato to Socrates and others, I felt it ..."
prof dev,at SOCRATEA LLC             DETROIT      MI,3,"Skull Session: Noah Brown Answers the Door, Camp Randall ... Oct 17, 2016 ... SOCRATES: I am wiser than this man; he fancies he knows ... for Kelly-Powell 
who is also high on places like Michigan, Nebraska and Oregon. ... 15-year-old 
girl shot and killed in Detroit after family tells speeding driver to slow down. ... 
Where Ohio State fans gather © 2006–2020 Eleven Warriors LLC."
prof dev,at SOCRATEA LLC             DETROIT      MI,4,"Positional Battles, 2016 Fantasy Baseball Mar 21, 2016 ... Out of the ashes of the burnt money, a Socrates Brito has emerged. In six minor ... 
Well, that just shows how bad Tomas is because I believe Socrates wins this 
battle. As the ... Any news/thoughts on Brandon Drury with the Arizona MI? ... 
Razzball.com and the Razzball logo units are copyright Razzball LLC."
transportation,Municipal Parking Departm,0,"The Arcata Police Department May Start Issuing Parking Tickets ... Feb 5, 2020 ... Parking near HSU might soon become a little more difficult, even when school is 
not in session. At tonight's meeting the Arcata City Council will ..."
transportation,Municipal Parking Departm,1,"Chicago Aviation Official Found Parking Car With City Plates ... Dec 11, 2019 ... CHICAGO (CBS) — The first deputy commissioner for the Chicago Department of 
Aviation has been caught breaking the law over and over ..."
transportation,Municipal Parking Departm,2,"Department of Public Works | Wilkes-Barre PA The Wilkes-Barre City Department of Public Works (DPW) has a wide array of 
responsibilities, including: Curbside collection of garbage, recycling, and yard ..."
transportation,Municipal Parking Departm,3,"Video shows Pennsylvania officer plowing down woman Jul 12, 2019 ... A Montgomery County Police Officer plowed down a woman in a municipal 
parking lot two years ago."
transportation,Municipal Parking Departm,4,"City of Calverton Park The City of Calverton Park, Missouri is currently accepting applications for ... civil 
process, bailiff functions and transportation duties for the police department."
dining,at CATRINAS_1               BLOOMFIELD HIMI,0,"GPs - HopeWorks Foundation phone: 09 631 5305 email: Unit 1, 337 Dominion Rd, Mt Eden, Auckland 1024 ... 
Level 1, Totara Health Services, 1 McCrae Way, New Lynn, Auckland 0600 web: 
staff: Michel ... 60-62 Bloomfield Tce, Lower Hutt 5010 web: staff: Dr Steven ... 
staff: Imran Gopaul Dr Tiwini Hemi Dr Margaret Parle Harrinder Singh 
Beerescourt ..."
misc,at MACYS  FAIRLANE CTR      DEARBORN     MI,0,"Epidemic of empty stores threatens metro Detroit shopping malls Oct 1, 2018 ... Which shopping center will become the next Northland or Summit Place? ... and 
more closures of traditional mall anchor stores such as Macy's, JC Penney, ... 
Mall in Sterling Heights and Fairlane Town Center in Dearborn."
misc,at MACYS  FAIRLANE CTR      DEARBORN     MI,1,"Rama Krishna Tummalapalli 16221 Ford Rd, Dearborn, MI 48126, United States - ... Can explore other 
hangouts as well like river, fox theatre, renaissance centre. ... Macy's. 2750 W Big 
Beaver Rd, Troy, MI 48084, United States -. 5 months ago ... Fairlane Town 
Center."
misc,at MACYS  FAIRLANE CTR      DEARBORN     MI,2,"Part Time Key Holder, Icing Southland Taylor MI job at Claire's ... Apply now for Part Time Key Holder, Icing Southland Taylor MI job at Claire's 
Accessories in Taylor, MI. ... Macy's Retail Sales, Part Time: Southland Mall, MI."
misc,at MACYS  FAIRLANE CTR      DEARBORN     MI,3,"Taubman Centers selling to rival malls owner in $3.6 billion deal Feb 10, 2020 ... Bloomfield Hills-based mall giant Taubman Centers Inc. is being sold for $3.6 ... It 
sold Fairlane Town Center in Dearborn and The Mall at Partridge Creek in ... 
difficult to acquire Michigan-based companies through hostile takeovers. ... to 
numerous retail bankruptcies and store closings, such Macy's, Sears, ..."
misc,at MACYS  FAIRLANE CTR      DEARBORN     MI,4,"'It's the year of the TV': Detroit area set for Black Friday blitz Nov 27, 2019 ... Renee Perkins, who was shopping at Fairlane Town Center in Dearborn on 
Tuesday, said she hasn't been Black Friday shopping since she ..."
recurring,at LA FITNESS               949-255-7200 CA,0,"Re: Important Information regarding your membership - Google ... Jun 4, 2016 ... From: LA Fitness <lafi. ... d/b/a L.A. Fitness and Pro Results | P.O. Box 54170, 
Irvine, CA 92619-4170, USA | 949-255-7200 | www.lafitness.com"
dining,at SUBWAY        00365759   ALLEN PARK   MI,0,"See on board the historic Boblo Island boat before fire destroyed it ... Jul 7, 2018 ... Fire has destroyed a piece of Michigan history, one of the old Boblo Island ... 
cruise down the Detroit river to Boblo Island Amusement Park."
dining,at SUBWAY        00365759   ALLEN PARK   MI,1,"Fair Lane Music Guild Pianist Pauline Martin and violinist Eliot Heaton (Concertmaster of Michigan 
Opera Theatre ... (Dessert Table sponsored by Park Place Catering, Dearborn)."
dining,at SUBWAY        00365759   ALLEN PARK   MI,2,"""Doomsday prophet's"" massage business closes; Is he a cult leader? Mar 21, 2014 ... Remember Dr. Craig Stasio, owner and proprietor of the Agape Massage 
Therapy and Chiropractic, in Clinton Township, Michigan? Local TV ..."
dining,at SUBWAY        00365759   ALLEN PARK   MI,3,"Quality Plus Air Duct Cleaning Address. Get directions. 5640 Schaefer Rd Suit 2. Dearborn, MI 48126. United 
States. Business Hours. Mon: 7:00 AM – 9:00 PM. Tue: 7:00 AM – 9:00 PM. Wed
 ..."
transportation,at SHELL OIL 57441725702    ALLEN PARK   MI,0,"Sangeon Lee - Google 학술검색 서지정보 Ph.D Candidate in Mechanical Engineering, University of Michigan ... Highly 
robust silicon nanowire/graphene core–shell electrodes without polymeric 
binders ... HJ Kim, J Lee, SE Lee, W Kim, HJ Kim, DG Choi, JH Park ... Food 
packaging material having uniform coating of oil, method of manufacturing the 
same, mold for ..."
transportation,at SHELL OIL 57441725702    ALLEN PARK   MI,1,"Teaching and Learning - Rebecca Hardin Director, Michigan Sustainability Cases and Gala (www.learngala.com) ... 
Maguranyanga, Privatization and Black Empowerment in South Africa's National 
Parks. ... Dierdre Lehn, Anthropologies of activism: Shell Oil in Ogoniland, 
Nigeria."
transportation,at SHELL OIL 57441725702    ALLEN PARK   MI,2,"Lebanese diner Al Tayeb one of Michigan's best breakfast restaurants Dec 4, 2019 ... Al Tayeb, a Lebanese diner in Garden City, is one of Michigan's best ... House-
made labneh with Lebanese olive oil from Al Tayeb in ... The falafel here, too, is 
of the best-in-class variety thanks to a light but crunchy shell that ..."
transportation,at SHELL OIL 57441725702    ALLEN PARK   MI,3,"News - DYC Flying Scots Sailing Program Sailing clubs from schools such as Michigan State, University of Michigan, ... 
Most of the oil wound up on the boat, which was very well lubricated by the time 
we ... removing one half of the shell, running a knife around the poor little body (
still ..."
transportation,at SHELL OIL 57441725702    ALLEN PARK   MI,4,"University of Michigan University of Michigan, 500 South State Street, Ann Arbor, MI 48109, United 
States ... the University of Michigan one of the nation's most desirable universities
."
dining,at GREEN DOT STABLES        DETROIT      MI,0,"Green Dot Stables, 2200 West Lafayette Boulevard, Detroit, MI ... Green Dot Stables, 2200 West Lafayette Boulevard, Detroit, MI. Connect to 
internet to see place info. Directions. Show map. Directions. Google Maps. Traffic"
dining,at GREEN DOT STABLES        DETROIT      MI,1,"The Coolest Small Businesses In Detroit - Business Insider Apr 18, 2013 ... Courtesy of Green Dot Stables Detroit was one of the hardest-hit cities in America 
during the recession. ... Why it's cool: Detroit Bike City promotes biking as a clean 
and environmentally friendly way to ... 2132 Michigan Ave."
dining,at GREEN DOT STABLES        DETROIT      MI,2,"Kelly Mao Green Dot Stables. 2200 W Lafayette Blvd, Detroit, MI 48216, United States -. 4 
months ago ... 8044 Kercheval Ave, Detroit, MI 48214, United States -. 4 months ..."
dining,at GREEN DOT STABLES        DETROIT      MI,3,"Ethan Everett Oliver I built a new home in Grand Blanc, MI. Because I knew that Comcast ... Green Dot 
Stables. 2200 W Lafayette Blvd, ... Vertical Detroit. 1538 Centre St, Detroit, MI ..."
dining,at GREEN DOT STABLES        DETROIT      MI,4,"30 delicious chilis in Michigan to spoon up all year long - mlive.com Nov 23, 2019 ... Green Dot Stables. 2200 W. Lafayette Blvd. Detroit, MI 48216. (313) 962-5588. 
410 S. Clippert St Lansing, Michigan 48912 (517) 574-4214."
transportation,at BP#6897672MICHIGAN & MAS DEARBORN     MI,0,"Worker who died at BP's NW Indiana refinery fell 30 feet Oct 3, 2019 ... WHITING, Ind. (AP) — A construction worker who was killed at BP's sprawling 
northwestern Indiana oil refinery died after falling about 30 feet (9 ..."
transportation,at BP#6897672MICHIGAN & MAS DEARBORN     MI,1,"UPDATE: Man shot at BP gas station on Buena Vista Rd. in ... Sep 26, 2019 ... Columbus police say a man was shot at the BP gas station on Buena Vista Road 
near Pembrook Drive. The victim was taken to a hospital for ..."
transportation,at BP#6897672MICHIGAN & MAS DEARBORN     MI,2,"Boycotting BP: Who Gets Hurt? - ABC News Jun 1, 2010 ... June 2, 2010— -- Boycotts of BP filling stations are popping up all over the 
country amid the growing frustration over the company's failed efforts ..."
transportation,at BP#6897672MICHIGAN & MAS DEARBORN     MI,3,"About half of BP's Alaska employees have accepted a job with Hilcorp Dec 19, 2019 ... BP announced Thursday that about half of its more than 1,500 Alaska employees 
have accepted a job with Hilcorp, the private oil company that ..."
